Tweet URL,Sr. no,Username,Polygon Wallet Address,Note,TransactionURL,TxHash,Address exists on Polygon
https://twitter.com/enoch_app/status/1662209996598419457,1,https://twitter.com/00800aa,0x3540D804e6124757A49B805E944B48d14cb78B74,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,2,https://twitter.com/LeifErikson_12,0xF448B9B8DEE4C3212f76CFB757B327dfe46E3C29,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,3,https://twitter.com/ynxneural,0x78A04CbC4Ddee8451F1781A8D0890E34C4957231,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,4,https://twitter.com/Balmon3006,0x1F40259F9735e22BDadFccc7cd997168D94def80,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,5,https://twitter.com/polardalf,0xa669813D008217180Ba354a2f8Cfb687aEB6B344,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,6,https://twitter.com/Invester779,0x3675f72503B4c611Cd88fC7b489ad5002DBeC032,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,7,https://twitter.com/DiekMaulana2,0xec6C2c1eBAe8bcfC3B1CA110aA9837200720EDf3,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,8,https://twitter.com/alexamir7122,0xD2aE233F2cBD3FC70AAB0a06C52B4Ebe21E96B5D,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,9,https://twitter.com/joe_phv,0xe4DDF277f378ADf3B8288d2174f8C9769dd19cA4,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,10,https://twitter.com/JinbeeiDragon,0x4b3CdC467e517Ef04F83Ea7C210810Cd41c28f29,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,11,https://twitter.com/Jiwel94,0xCAeb672F845054045Fe37a24059B663108000d96,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,12,https://twitter.com/Airdrop45_com,0x178A51dfE16be15AAA0ed75ECAa3cdaCc10198Dc,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,13,https://twitter.com/yocobain,0xD0731858bE8968275756EafB07CeC10c5208e2F6,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,14,https://twitter.com/blackcoffee_77,0xF02EcefC78A54E236bF1b41DCFc5aDde42D4EAaa,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,15,https://twitter.com/Krypton1716,0x2601CF613f5B62239060D3C3F7E5e83b793B29Bf,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,16,https://twitter.com/wongjawa2001,0xfb37e47107e343dd590a5550c5c6d86c8d0c4ff8,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,17,https://twitter.com/Bowoganteng3433,0xD484C8aEB0032bC44A86A3564C7E1EdC4D5e7811,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,18,https://twitter.com/rza088,0x7d3AA9A8306C5cDb760Dd635c2183b86aB07AD73,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,19,https://twitter.com/Jepri039,0x6E06946fdAb94D74ee3daE6c628718D24b4D7261,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,20,https://twitter.com/KuroAshi87,0x89548765fD74931AAC0a5b7e2a03f6d5d34A0A36,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,21,https://twitter.com/Aliando714,0xcF61393d6809a2495Dc0292dE35a82715485bd33,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,22,https://twitter.com/HodlNFT1K,0x46c6bCAb60fd4749eCAa31aee026a81f7b3EC93c,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,23,https://twitter.com/monicautami10,0x88967579C7a1052FE7F576E72Ee7679019052471,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,24,https://twitter.com/farahul7,0x2159026934b9B80a8B3C15E5D00073FD0fC97046,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,25,https://twitter.com/SWK_BINNER,0x4a7dCbE526798C7339Fc063aC3D9EC91bf91b1aA,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,26,https://twitter.com/RaffiPermana91,0xEAE5da3b4697b8EB8b43A572380113d346120f8c,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,27,https://twitter.com/BK100BTC,0x629142a10bb81b01B7292E3d1E96e85E768A4d6d,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,28,https://twitter.com/halog0512,0x45417E72B7358f10C428A4C79cc8D73Ae716Ad36,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,29,https://twitter.com/donnysuhendraa,0x51894bAB233B03E89dbB037d36A7BB540B780cf4,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,30,https://twitter.com/Heiyoogaslage,0x17a3c0603218C6eE680Ad0f1914D5C6A4d1c1D00,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,31,https://twitter.com/Chiacha02672401,0xb640eB7d7ac4EaBf124880860cc90729c3868ee5,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,32,https://twitter.com/CashBond2,0xebE2101d6eCD21F8ACd36151CE1D159b1F9AB8F0,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,33,https://twitter.com/Bahar9871,0xd57a853BBF2e81d29f38eB854cAE8943ABE3A499,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,34,https://twitter.com/syahrilrad13,0x70608baeA8B867DFdDd2AB81cb27d1BFBA0e1A0B,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,35,https://twitter.com/Nauraviona148,0xd25b8dF15b013655423B45A5C883aD4E62aB894e,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,36,https://twitter.com/faizakbar135305,0x88F1718C82216DfDEa373aB8cB56B61B1e91ff22,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,37,https://twitter.com/aghsunn,0xBf2Cd77ab16b59e7EfC5229EBCd04DfD1e3982D6,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,38,https://twitter.com/teguhsantoso04,0xdcbfCBb7988f36Fab77093DF376b816Ec9Ca01F8,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,39,https://twitter.com/osi89715024,0x8C78F5C65256f23b65a7c843684Ac5cECf5D1BAb,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,40,https://twitter.com/0xzero1910,0x3F4A8f9f7E8E4125B0F8e9F2992410D806A40a61,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,41,https://twitter.com/beryhuja11,0xeBE68ECFF34a5359D31E529465C8a096B5f549b5,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,42,https://twitter.com/Bangun_dedi,0x53f5b0BD0085A27E0aD5011A01e70d1806D9b32B,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,43,https://twitter.com/nimophv_,0x9D56fd2A3548D9217a9531dEA1Fb8041dAca7108,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
,44,https://twitter.com/Hiyaaahhh1,0xC787E50BdC897E4faF9337468080E4f78ad6D171,,https://polygonscan.com/tx/0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,0xe15767a351ffde51f22b9023bc1b5a29fa2906a4b5e7ee153e51f38e07748693,true
